_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,if_you_had_difficulties_answering_these_questions_please_explain_here_why,speaker_a__leads_the_dialogue,speaker_a_is_being_guided_by_the_other_speaker_during_the_dialogue,speaker_a_is_demanding_concerning_the_choice_of_the_restaurant,speaker_a_is_flexible_in_the_choice_of_the_restaurant,speaker_a_likes__french_food,speaker_a_only_considers_hisher_own_preferences_in_choosing_a_restaurant,speaker_a_takes_the_preferences_of_the_other_speaker_into_account_in_choosing_a_restaurant,speaker_b_is_being_guided_by_the_other_speaker_during_the_dialogue,speaker_b_is_demanding_concerning_the_choice_of_the_restaurant,speaker_b_is_flexible_in_the_choice_of_the_restaurant,speaker_b_leads_the_dialogue,speaker_b_only_considers_hisher_own_preferences_in_choosing_a_restaurant,speaker_b_takes_the_preferences_of_the_other_speaker_into_account_in_choosing_a_restaurant,the_two_friends_chose_a_french_restaurant,content,if_you_had_difficulties_answering_these_questions_please_explain_here_why_gold,speaker_a__leads_the_dialogue_gold,speaker_a_is_being_guided_by_the_other_speaker_during_the_dialogue_gold,speaker_a_is_demanding_concerning_the_choice_of_the_restaurant_gold,speaker_a_is_flexible_in_the_choice_of_the_restaurant_gold,speaker_a_likes__french_food_gold,speaker_a_only_considers_hisher_own_preferences_in_choosing_a_restaurant_gold,speaker_a_takes_the_preferences_of_the_other_speaker_into_account_in_choosing_a_restaurant_gold,speaker_b_is_being_guided_by_the_other_speaker_during_the_dialogue_gold,speaker_b_is_demanding_concerning_the_choice_of_the_restaurant_gold,speaker_b_is_flexible_in_the_choice_of_the_restaurant_gold,speaker_b_leads_the_dialogue_gold,speaker_b_only_considers_hisher_own_preferences_in_choosing_a_restaurant_gold,speaker_b_takes_the_preferences_of_the_other_speaker_into_account_in_choosing_a_restaurant_gold,the_two_friends_chose_a_french_restaurant_gold
1039503139,9/23/2016 13:01:40,2135154513,9/23/2016 12:59:32,false,neodev,0.5,39091706,VEN,"","",200.109.129.69,,3,1,3,1,1,4,1,1,3,1,1,1,1,1,"<b>A</b>: ""Let's eat Chinese food tonight."" <br>   <br>&nbsp&nbsp&nbsp&nbsp <b>B </b>: ""I like French food more than Chinese food. <br>   <br><b>A</b>: ""Chinese is my favorite food."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""I like Turkish food more than Chinese food."" <br>   <br><b>A</b>: ""I like Chinese food more than Turkish food."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""Let's eat French food tonight."" <br>   <br><b>A</b>: ""Let's go to the Dragon restaurant."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""Okay, I'll call to book a table.""<br><br>",,,,,,,,,,,,,,,
1039503139,9/23/2016 13:03:03,2135156711,9/23/2016 13:00:33,false,clixsense,0.3571,31692492,PHL,20,Amaya,112.203.40.145,nothing,4,2,3,4,0,2,4,4,4,2,0,2,1,0,"<b>A</b>: ""Let's eat Chinese food tonight."" <br>   <br>&nbsp&nbsp&nbsp&nbsp <b>B </b>: ""I like French food more than Chinese food. <br>   <br><b>A</b>: ""Chinese is my favorite food."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""I like Turkish food more than Chinese food."" <br>   <br><b>A</b>: ""I like Chinese food more than Turkish food."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""Let's eat French food tonight."" <br>   <br><b>A</b>: ""Let's go to the Dragon restaurant."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""Okay, I'll call to book a table.""<br><br>",,,,,,,,,,,,,,,
1039503139,9/23/2016 13:03:10,2135156912,9/23/2016 13:00:32,false,neodev,0.5429,13396426,VEN,15,Santa Teresa,190.38.163.149,,4,0,3,0,2,4,1,3,1,4,1,1,3,0,"<b>A</b>: ""Let's eat Chinese food tonight."" <br>   <br>&nbsp&nbsp&nbsp&nbsp <b>B </b>: ""I like French food more than Chinese food. <br>   <br><b>A</b>: ""Chinese is my favorite food."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""I like Turkish food more than Chinese food."" <br>   <br><b>A</b>: ""I like Chinese food more than Turkish food."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""Let's eat French food tonight."" <br>   <br><b>A</b>: ""Let's go to the Dragon restaurant."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""Okay, I'll call to book a table.""<br><br>",,,,,,,,,,,,,,,
1039503139,9/23/2016 13:04:00,2135158148,9/23/2016 13:00:47,false,clixsense,0.4,37862223,FRA,A8,Wissous,90.61.158.10,,4,0,4,0,2,4,0,4,0,4,0,0,4,0,"<b>A</b>: ""Let's eat Chinese food tonight."" <br>   <br>&nbsp&nbsp&nbsp&nbsp <b>B </b>: ""I like French food more than Chinese food. <br>   <br><b>A</b>: ""Chinese is my favorite food."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""I like Turkish food more than Chinese food."" <br>   <br><b>A</b>: ""I like Chinese food more than Turkish food."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""Let's eat French food tonight."" <br>   <br><b>A</b>: ""Let's go to the Dragon restaurant."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""Okay, I'll call to book a table.""<br><br>",,,,,,,,,,,,,,,
1039503139,9/23/2016 13:04:34,2135159108,9/23/2016 13:01:02,false,clixsense,0.5143,23197558,ITA,09,Milan,79.21.24.228,,3,1,3,1,1,4,1,3,1,3,1,1,3,0,"<b>A</b>: ""Let's eat Chinese food tonight."" <br>   <br>&nbsp&nbsp&nbsp&nbsp <b>B </b>: ""I like French food more than Chinese food. <br>   <br><b>A</b>: ""Chinese is my favorite food."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""I like Turkish food more than Chinese food."" <br>   <br><b>A</b>: ""I like Chinese food more than Turkish food."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""Let's eat French food tonight."" <br>   <br><b>A</b>: ""Let's go to the Dragon restaurant."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""Okay, I'll call to book a table.""<br><br>",,,,,,,,,,,,,,,
1039503139,9/23/2016 13:05:37,2135160818,9/23/2016 13:00:41,false,clixsense,0.254,34661125,MYS,01,Bandar Tenggara,118.100.19.86,,4,2,3,2,3,3,3,1,3,1,3,3,3,3,"<b>A</b>: ""Let's eat Chinese food tonight."" <br>   <br>&nbsp&nbsp&nbsp&nbsp <b>B </b>: ""I like French food more than Chinese food. <br>   <br><b>A</b>: ""Chinese is my favorite food."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""I like Turkish food more than Chinese food."" <br>   <br><b>A</b>: ""I like Chinese food more than Turkish food."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""Let's eat French food tonight."" <br>   <br><b>A</b>: ""Let's go to the Dragon restaurant."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""Okay, I'll call to book a table.""<br><br>",,,,,,,,,,,,,,,
1039503139,9/23/2016 13:05:50,2135161169,9/23/2016 13:01:00,false,neodev,0.3333,30666873,ESP,"","",92.176.4.54,,2,0,0,0,0,3,0,3,4,4,2,0,3,0,"<b>A</b>: ""Let's eat Chinese food tonight."" <br>   <br>&nbsp&nbsp&nbsp&nbsp <b>B </b>: ""I like French food more than Chinese food. <br>   <br><b>A</b>: ""Chinese is my favorite food."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""I like Turkish food more than Chinese food."" <br>   <br><b>A</b>: ""I like Chinese food more than Turkish food."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""Let's eat French food tonight."" <br>   <br><b>A</b>: ""Let's go to the Dragon restaurant."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""Okay, I'll call to book a table.""<br><br>",,,,,,,,,,,,,,,
1039503139,9/23/2016 13:06:09,2135161604,9/23/2016 13:00:57,false,clixsense,0.4762,32508643,ITA,09,Como,95.236.113.246,,3,1,3,0,2,4,0,3,2,3,1,1,3,0,"<b>A</b>: ""Let's eat Chinese food tonight."" <br>   <br>&nbsp&nbsp&nbsp&nbsp <b>B </b>: ""I like French food more than Chinese food. <br>   <br><b>A</b>: ""Chinese is my favorite food."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""I like Turkish food more than Chinese food."" <br>   <br><b>A</b>: ""I like Chinese food more than Turkish food."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""Let's eat French food tonight."" <br>   <br><b>A</b>: ""Let's go to the Dragon restaurant."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""Okay, I'll call to book a table.""<br><br>",,,,,,,,,,,,,,,
1039503139,9/23/2016 13:08:13,2135164791,9/23/2016 13:00:27,false,neodev,0.4365,39547880,HUN,05,Budapest,176.63.25.70,,4,1,1,1,0,4,4,3,1,3,1,1,1,0,"<b>A</b>: ""Let's eat Chinese food tonight."" <br>   <br>&nbsp&nbsp&nbsp&nbsp <b>B </b>: ""I like French food more than Chinese food. <br>   <br><b>A</b>: ""Chinese is my favorite food."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""I like Turkish food more than Chinese food."" <br>   <br><b>A</b>: ""I like Chinese food more than Turkish food."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""Let's eat French food tonight."" <br>   <br><b>A</b>: ""Let's go to the Dragon restaurant."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""Okay, I'll call to book a table.""<br><br>",,,,,,,,,,,,,,,
1039503139,9/23/2016 13:20:03,2135183693,9/23/2016 13:17:52,false,elite,1.0,35357755,BIH,01,Tuzla,89.146.157.50,,4,1,3,1,1,3,1,3,2,2,0,1,3,0,"<b>A</b>: ""Let's eat Chinese food tonight."" <br>   <br>&nbsp&nbsp&nbsp&nbsp <b>B </b>: ""I like French food more than Chinese food. <br>   <br><b>A</b>: ""Chinese is my favorite food."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""I like Turkish food more than Chinese food."" <br>   <br><b>A</b>: ""I like Chinese food more than Turkish food."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""Let's eat French food tonight."" <br>   <br><b>A</b>: ""Let's go to the Dragon restaurant."" <br>   <br>&nbsp&nbsp&nbsp&nbsp<b>B</b>: ""Okay, I'll call to book a table.""<br><br>",,,,,,,,,,,,,,,
