ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
181;0.3;0.9;0.6499999999999999;[0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
182;0.4;0.9;0.75;[0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.75, 0.75, 0.75]
183;0.5;0.9;0.75;[0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.75, 0.75, 0.75]
184;0.3;0.8;0.6499999999999999;[0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
185;0.4;0.8;0.6499999999999999;[0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
186;0.5;0.8;0.6499999999999999;[0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.75, 0.75, 0.6499999999999999, 0.6499999999999999]
187;0.3;0.7000000000000001;0.6;[0.6499999999999999, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]
188;0.4;0.7000000000000001;0.6;[0.6499999999999999, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]
ID;ToMAgent;NegotiatorAgent;FinalGuess;GuessedValues 
1;0.3;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
2;0.4;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
3;0.5;0.9;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
4;0.3;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
5;0.4;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
6;0.5;0.8;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
7;0.3;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
8;0.4;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
9;0.5;0.7000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]
10;0.3;0.6000000000000001;0.75;[0.75, 0.75, 0.75, 0.75, 0.75]
