ID de la réponse	Date de soumission	Dernière page	Langue de départ	Date de lancement	Date de la dernière action	Merci d'appeler l'expérimentateur pour cette partie.(Seul l'expérimentateur est autorisé à répondre) 	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	
id	submitdate	lastpage	startlanguage	startdate	datestamp	UserNum	App_SQ001	App_SQ002	App_SQ003	App_SQ004	userConfort_SQ001	userConfort_SQ005	userConfort_SQ002	userConfort_SQ003	userConfort_SQ004	AgentBehavior_SQ001	AgentBehavior_SQ002	AgentBehavior_SQ003	AgentBehavior_SQ004	AgentBehavior_SQ005	AgentBehavior_SQ006	AgentBehavior_SQ007	AgentBehavior_SQ008	AgentBehavior_SQ010	utilisateur_SQ001	utilisateur_SQ002	utilisateur_SQ003	utilisateur_SQ004	utilisateur_SQ005	utilisateur_SQ006	utilisateur_SQ007	utilisateur_SQ008	utilisateur_SQ009	
1	2018-03-27 15:07:48	4	fr	2018-03-27 15:04:19	2018-03-27 15:07:48	3.0000000000	A5	A3	A4	A5	A4	A5	A4	A3	A2	A5	A3	A5	A5	A4	A3	A4	A4	A5	A2	A5	A4	A1	A5	A4	A4	A5	A2
2	2018-03-27 16:02:40	4	fr	2018-03-27 15:58:44	2018-03-27 16:02:40	4.0000000000	A4	A4	A2	A2	A4	A3	A3	A4	A2	A4	A4	A3	A4	A3	A4	A4	A4	A5	A5	A3	A2	A4	A3	A4	A4	A4	A2
3	2018-03-27 16:41:15	4	fr	2018-03-27 16:38:39	2018-03-27 16:41:15	5.0000000000	A4	A2	A2	A1	A2	A4	A4	A2	A4	A4	A2	A4	A5	A1	A2	A1	A1	A5	A2	A4	A2	A4	A4	A3	A4	A3	A2
4	2018-03-27 17:40:07	4	fr	2018-03-27 17:37:05	2018-03-27 17:40:07	6.0000000000	A4	A3	A5	A1	A3	A3	A2	A4	A1	A3	A2	A2	A2	A2	A3	A3	A3	A5	A4	A3	A5	A4	A3	A1	A3	A2	A2
5	2018-03-27 18:31:29	4	fr	2018-03-27 18:29:55	2018-03-27 18:31:29	7.0000000000	A4	A4	A4	A2	A4	A4	A4	A4	A2	A2	A4	A3	A1	A3	A3	A3	A4	A5	A4	A3	A3	A4	A4	A3	A4	A3	A2
6	2018-03-28 10:34:59	4	fr	2018-03-28 10:33:14	2018-03-28 10:34:59	8.0000000000	A5	A2	A4	A1	A4	A4	A4	A4	A2	A4	A2	A4	A2	A2	A2	A2	A3	A5	A4	A4	A2	A2	A4	A2	A4	A4	A2
7	2018-03-28 10:55:26	4	fr	2018-03-28 10:54:02	2018-03-28 10:55:26	9.0000000000	A5	A4	A2	A2	A4	A4	A4	A4	A2	A4	A2	A4	A4	A3	A2	A3	A4	A5	A4	A2	A2	A4	A4	A2	A4	A4	A2
8	2018-03-28 13:38:24	4	fr	2018-03-28 13:36:10	2018-03-28 13:38:24	11.0000000000	A5	A4	A4	A1	A4	A4	A4	A4	A2	A5	A3	A3	A5	A4	A2	A4	A2	A5	A2	A4	A1	A2	A2	A2	A2	A5	A2
9	2018-03-28 14:32:57	4	fr	2018-03-28 14:30:58	2018-03-28 14:32:57	12.0000000000	A5	A1	A1	A1	A4	A2	A5	A4	A1	A5	A1	A5	A5	A4	A1	A4	A4	A5	A1	A5	A1	A1	A1	A5	A1	A5	A2
10	2018-03-28 16:07:57	4	fr	2018-03-28 16:05:28	2018-03-28 16:07:57	13.0000000000	A4	A5	A4	A1	A4	A4	A4	A4	A1	A4	A2	A3	A3	A4	A4	A4	A4	A5	A4	A1	A4	A4	A3	A4	A3	A4	A2
