ID de la réponse	Date de soumission	Dernière page	Langue de départ	Date de lancement	Date de la dernière action	Merci d'appeler l'expérimentateur pour cette partie.(Seul l'expérimentateur est autorisé à répondre) 	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	Merci d'evaluer chaque affirmation 	
id	submitdate	lastpage	startlanguage	startdate	datestamp	UserNum	App_SQ001	App_SQ002	App_SQ003	App_SQ004	userConfort_SQ001	userConfort_SQ005	userConfort_SQ002	userConfort_SQ003	userConfort_SQ004	AgentBehavior_SQ001	AgentBehavior_SQ002	AgentBehavior_SQ003	AgentBehavior_SQ004	AgentBehavior_SQ005	AgentBehavior_SQ006	AgentBehavior_SQ007	AgentBehavior_SQ008	AgentBehavior_SQ010	utilisateur_SQ001	utilisateur_SQ002	utilisateur_SQ003	utilisateur_SQ004	utilisateur_SQ005	utilisateur_SQ006	utilisateur_SQ007	utilisateur_SQ008	utilisateur_SQ009	
1	2018-03-27 14:55:24	4	fr	2018-03-27 14:53:09	2018-03-27 14:55:24	3.0000000000	A5	A4	A3	A1	A5	A5	A5	A4	A1	A5	A2	A3	A1	A1	A1	A1	A1	A2	A1	A5	A1	A1	A5	A5	A5	A4	A3
2	2018-03-27 15:44:23	4	fr	2018-03-27 15:38:58	2018-03-27 15:44:23	4.0000000000	A5	A4	A2	A1	A5	A5	A5	A5	A1	A2	A3	A2	A4	A2	A2	A2	A2	A2	A4	A2	A1	A4	A5	A3	A5	A4	A3
3	2018-03-27 16:27:36	4	fr	2018-03-27 16:24:23	2018-03-27 16:27:36	5.0000000000	A4	A4	A5	A1	A2	A4	A4	A4	A2	A2	A2	A4	A4	A2	A5	A1	A2	A2	A4	A2	A4	A4	A3	A2	A4	A2	A3
4	2018-03-27 17:26:51	4	fr	2018-03-27 17:22:53	2018-03-27 17:26:51	6.0000000000	A4	A4	A1	A1	A5	A3	A4	A3	A1	A4	A1	A2	A5	A2	A2	A3	A2	A2	A4	A2	A4	A4	A3	A1	A3	A2	A3
5	2018-03-27 18:22:07	4	fr	2018-03-27 18:19:43	2018-03-27 18:22:07	7.0000000000	A5	A4	A3	A5	A3	A3	A3	A3	A4	A4	A3	A4	A4	A2	A3	A2	A4	A2	A4	A2	A3	A4	A4	A4	A4	A3	A3
6	2018-03-28 10:25:55	4	fr	2018-03-28 10:23:55	2018-03-28 10:25:55	8.0000000000	A4	A5	A1	A1	A5	A5	A5	A5	A4	A4	A1	A2	A4	A4	A2	A4	A2	A1	A4	A4	A4	A4	A3	A1	A3	A2	A3
7	2018-03-28 10:48:01	4	fr	2018-03-28 10:46:27	2018-03-28 10:48:01	9.0000000000	A4	A4	A4	A4	A4	A4	A4	A4	A2	A4	A2	A4	A4	A2	A2	A2	A3	A2	A3	A4	A2	A3	A4	A3	A4	A3	A3
8	2018-03-28 11:14:16	4	fr	2018-03-28 11:10:37	2018-03-28 11:14:16	10.0000000000	A4	A4	A1	A4	A5	A5	A4	A5	A5	A5	A1	A5	A5	A2	A1	A2	A1	A2	A1	A5	A1	A2	A4	A3	A4	A2	A3
9	2018-03-28 13:26:16	4	fr	2018-03-28 13:22:20	2018-03-28 13:26:16	11.0000000000	A5	A4	A2	A2	A3	A4	A4	A3	A3	A4	A1	A3	A4	A3	A2	A3	A4	A2	A4	A4	A2	A4	A2	A2	A2	A4	A3
10	2018-03-28 14:22:23	4	fr	2018-03-28 14:20:37	2018-03-28 14:22:23	12.0000000000	A5	A5	A2	A1	A4	A4	A5	A4	A1	A5	A1	A5	A5	A4	A1	A5	A1	A2	A1	A1	A1	A1	A1	A4	A1	A1	A3
11	2018-03-28 15:57:07	4	fr	2018-03-28 15:53:54	2018-03-28 15:57:07	13.0000000000	A4	A4	A2	A1	A3	A4	A4	A3	A2	A5	A1	A4	A4	A2	A2	A3	A1	A1	A4	A2	A4	A4	A3	A2	A3	A4	A3
12	2018-03-28 17:31:10	4	fr	2018-03-28 17:28:37	2018-03-28 17:31:10	14.0000000000	A5	A2	A1	A1	A4	A4	A5	A2	A2	A5	A1	A5	A5	A2	A1	A2	A2	A2	A2	A4	A1	A2	A4	A4	A4	A5	A3
13	2018-03-28 17:58:17	4	fr	2018-03-28 17:56:01	2018-03-28 17:58:17	15.0000000000	A1	A3	A1	A1	A5	A4	A5	A5	A1	A5	A1	A5	A5	A1	A1	A1	A1	A2	A1	A5	A1	A1	A5	A3	A5	A2	A3
