id;bob;arthur;kevin
16;[0.3, 0.3, 0.3, 0.3, 0.3, 0.6, 0.3, 0.5, 0.3];[0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001];[0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001]
17;[0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001];[0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001];[0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
18;[1.0, 0.75, 0.6499999999999999]
19;[1.0, 0.8500000000000001];[0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.8500000000000001, 0.5, 0.5, 0.5];[0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
20;[1.0, 0.4000000000000001, 0.4000000000000001, 0.5];[0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.7, 0.7, 0.7, 0.7];[0.75, 0.5, 0.5, 0.5]
21;[0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001];[0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001];[0.6, 0.45, 0.6, 0.6]
22;[1.0, 0.8500000000000001];[0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.3, 0.45, 0.45, 0.45, 0.45, 0.4, 0.4, 0.4];[0.8500000000000001, 0.35, 0.8500000000000001, 0.3, 0.3]
23;[0.4000000000000001, 0.9, 0.9];[0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.9, 0.8500000000000001, 0.8500000000000001];[0.8500000000000001, 0.8500000000000001]
24;[1.0, 0.9];[0.6, 0.5, 0.5];[0.4000000000000001, 0.4000000000000001, 0.35, 0.9, 0.5, 0.6, 0.3, 0.3, 0.6, 0.6, 0.5, 0.5, 0.5, 0.5]
25;[0.8500000000000001, 0.5, 0.5, 0.5, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.7, 0.5, 0.5, 0.6, 0.5, 0.5, 0.5];[0.8500000000000001, 0.9, 0.8, 0.9, 0.9, 0.9, 0.9];[0.4000000000000001, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
26;[0.75, 0.4000000000000001, 0.4000000000000001, 0.45, 0.5, 0.5];[0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.9, 0.9];[0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001]
27;[0.4000000000000001, 0.4000000000000001];[0.8500000000000001, 0.8500000000000001];[1.0]
28;[0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.35, 0.35, 0.35, 0.35, 0.35];[0.75, 0.75, 0.75, 0.75, 0.45, 0.5, 0.5, 0.5, 0.5, 0.4, 0.5, 0.5];[0.75, 0.75, 0.75, 0.75, 0.75]
29;[0.8500000000000001, 0.4000000000000001, 0.8500000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001];[0.4000000000000001, 0.4000000000000001, 0.3, 0.5, 0.75, 0.6, 0.75, 0.75, 0.75, 0.75, 0.75];[0.8500000000000001, 0.8500000000000001, 0.8, 0.6, 0.6, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001]
30;[0.6, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001];[0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.9, 0.9, 0.8, 0.9, 0.9, 0.9];[0.4000000000000001, 0.9, 0.9, 0.9, 0.4, 0.9, 0.9]
31;[0.4000000000000001, 0.6499999999999999, 0.3, 0.3, 0.6, 0.6, 0.6, 0.6];[0.6, 0.45, 0.6, 0.45, 0.7, 0.7, 0.7, 0.7];[0.6, 0.6, 0.4000000000000001, 0.5, 0.5, 0.5]
32;[0.8500000000000001, 0.4000000000000001, 0.6499999999999999, 0.4000000000000001, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45];[0.75, 0.75, 0.75, 0.4000000000000001, 0.5, 0.5, 0.5];[0.6, 0.4000000000000001, 0.4000000000000001]
33;[0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.4000000000000001];[0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001];[0.3, 0.3, 0.3, 0.3]
34;[0.6, 0.4000000000000001, 0.45, 0.45, 0.45];[0.4000000000000001, 0.6, 0.9, 0.8500000000000001, 0.9, 0.9, 0.8, 0.9, 0.9, 0.9, 0.9];[0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999, 0.6499999999999999]
35;[0.6, 0.4000000000000001, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5];[0.4000000000000001, 0.6, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9];[0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001]
36;[0.75, 0.4000000000000001, 0.5, 0.35, 0.5, 0.5, 0.5, 0.35, 0.35, 0.35];[0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001];[0.6499999999999999, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
37;[0.6, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001];[0.75, 0.75, 0.75, 0.45, 0.5, 0.45, 0.45, 0.45, 0.45];[0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.6, 0.6, 0.75, 0.75]
38;[0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001];[0.75, 0.75, 0.75, 0.4000000000000001, 0.5, 0.5];[1.0, 0.45, 0.7, 0.7, 0.8, 0.8]
39;[0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001];[0.4000000000000001, 0.4000000000000001, 0.4000000000000001];[0.8500000000000001, 0.8500000000000001, 0.8500000000000001]
40;[0.75, 0.4000000000000001, 0.35, 0.4000000000000001, 0.5, 0.5, 0.5];[0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001];[0.6499999999999999, 0.45, 0.45]
41;[1.0, 0.4000000000000001, 0.45, 0.5];[0.8500000000000001, 0.8500000000000001, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9];[0.8500000000000001, 0.6, 0.6, 0.6, 0.6, 0.8500000000000001, 0.8500000000000001]
42;[0.3, 0.3, 0.3, 0.3, 0.3, 0.3];[0.3, 0.5, 0.3, 0.3];[0.4000000000000001, 0.5, 0.5]
43;[0.75, 0.3, 0.5, 0.5];[0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001];[0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.3, 0.3]
44;[0.8500000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001];[0.6499999999999999, 0.4000000000000001, 0.5, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001];[0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.9, 0.5, 0.9, 0.9]
45;[0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.75, 0.4000000000000001, 0.75, 0.75];[0.75, 0.75, 0.45, 0.5, 0.5, 0.5];[0.75, 0.75, 0.75, 0.75]
46;[0.4000000000000001, 0.7, 0.45, 0.45];[0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.3, 0.45, 0.45, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7];[0.8500000000000001, 0.35, 0.8500000000000001, 0.3, 0.4000000000000001, 0.4000000000000001]
47;[0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5];[0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.3, 0.45, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9];[0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.3, 0.3, 0.3]
48;[0.6, 0.4000000000000001, 0.45, 0.45, 0.6, 0.4, 0.4];[0.8500000000000001, 0.4000000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8, 0.8500000000000001, 0.8500000000000001];[0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001]
49;[0.8500000000000001, 0.8500000000000001, 0.8500000000000001];[0.6, 0.8, 0.6, 0.6, 0.6];[1.0, 0.75, 0.75, 0.75, 0.75, 0.75]
50;[0.4000000000000001, 0.3, 0.5, 0.3, 0.3, 0.3, 0.6, 0.6];[0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.3, 0.3];[0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001]
51;[0.8500000000000001, 0.4000000000000001, 0.6499999999999999, 0.6, 0.6499999999999999, 0.4000000000000001, 0.3, 0.3, 0.3, 0.3];[0.8500000000000001, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9];[0.4000000000000001, 0.4000000000000001, 0.35, 0.35, 0.35, 0.4, 0.4, 0.4]
52;[0.4000000000000001, 0.7, 0.45, 0.45, 0.45, 0.45];[0.75, 0.4000000000000001, 0.4000000000000001, 0.5, 0.5, 0.5, 0.5];[0.6, 0.6, 0.6]
53;[0.8500000000000001, 0.8500000000000001, 0.8500000000000001, 0.4000000000000001, 0.75, 0.75, 0.75];[0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.35, 0.35, 0.4, 0.4, 0.4];[0.75, 0.75, 0.75, 0.5, 0.5]
54;[0.75, 0.75, 0.75, 0.75, 0.75];[0.6499999999999999, 0.6499999999999999, 0.7333333333333334, 0.6499999999999999, 0.5, 0.7, 0.7];[0.8500000000000001, 0.8500000000000001, 0.8, 0.6, 0.8500000000000001, 0.8500000000000001, 0.8500000000000001]
55;[0.6, 0.6, 0.6, 0.4000000000000001, 0.6, 0.3, 0.6, 0.6, 0.6];[0.6, 0.6, 0.6];[0.75, 0.75, 0.75]
56;[0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001];[0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.5, 0.3, 0.3, 0.3];[0.75, 0.75, 0.75, 0.4000000000000001, 0.5, 0.5, 0.5]
57;[0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.6, 0.6];[0.6, 0.45, 0.6, 0.6, 0.6];[0.75, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001, 0.4000000000000001]
