id;bob;arthur;kevin
16;21;32;12
17;23;12;10
18;7
19;6;17;11
20;10;19;12
21;10;15;14
22;6;26;11
23;7;18;6
24;6;8;30
25;33;18;20
26;15;15;11
27;4;4;3
28;32;35;16
29;28;26;22
30;22;24;18
31;20;22;19
32;24;22;9
33;14;9;9
34;13;29;25
35;29;24;19
36;24;18;28
37;11;23;22
38;12;19;18
39;9;7;11
40;17;20;9
41;12;23;17
42;13;9;9
43;11;14;18
44;9;16;22
45;20;18;16
46;9;26;14
47;25;27;17
48;18;24;20
49;8;14;18
50;21;34;16
51;22;29;18
52;15;19;12
53;17;33;18
54;12;20;18
55;22;10;10
56;17;23;21
57;13;17;16
58;16;17;16
59;19;15;11
60;13;20;10
61;12;16;14
62;27;28;34
63;19;22;16
64;15;17;13
65;18;21;16
66;12;6;11
67;13;24;15
68;8;24;8
69;10;28;20
70;16;12;8
71;17;15;12
