_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,if_you_had_difficulties_answering_these_questions_please_explain_here_why,speaker_a__is_selfcentered,speaker_a_gives_up_his_position_in_the_negotiation,speaker_a_is_demanding,speaker_a_likes_french_restaurants,speaker_a_makes_concessions_in_the_negotiation,speaker_a_presses_his_position_in_the_negotiation,speaker_a_takes_his_friends_preferences_into_account_in_the_choice_of_the_restaurant,speaker_a_takes_the_initiative_in_the_negotiation,speaker_a_takes_the_lead_in_the_negotiation,speaker_b_gives_up_his_position_in_the_negotiation,speaker_b_is_demanding,speaker_b_is_selfcentered,speaker_b_likes_chinese_restaurants,speaker_b_makes_concessions_in_the_negotiation,speaker_b_presses_his_position_in_the_negotiation,speaker_b_takes_his_friends_preferences_into_account_in_the_choice_of_the_restaurant,speaker_b_takes_the_initiative_in_the_negotiation,speaker_b_takes_the_lead_in_the_negotiation,content,if_you_had_difficulties_answering_these_questions_please_explain_here_why_gold,speaker_a__is_selfcentered_gold,speaker_a_gives_up_his_position_in_the_negotiation_gold,speaker_a_is_demanding_gold,speaker_a_likes_french_restaurants_gold,speaker_a_makes_concessions_in_the_negotiation_gold,speaker_a_presses_his_position_in_the_negotiation_gold,speaker_a_takes_his_friends_preferences_into_account_in_the_choice_of_the_restaurant_gold,speaker_a_takes_the_initiative_in_the_negotiation_gold,speaker_a_takes_the_lead_in_the_negotiation_gold,speaker_b_gives_up_his_position_in_the_negotiation_gold,speaker_b_is_demanding_gold,speaker_b_is_selfcentered_gold,speaker_b_likes_chinese_restaurants_gold,speaker_b_makes_concessions_in_the_negotiation_gold,speaker_b_presses_his_position_in_the_negotiation_gold,speaker_b_takes_his_friends_preferences_into_account_in_the_choice_of_the_restaurant_gold,speaker_b_takes_the_initiative_in_the_negotiation_gold,speaker_b_takes_the_lead_in_the_negotiation_gold
1168714919,3/2/2017 09:21:01,2408555887,3/2/2017 09:18:43,false,tremorgames,1.0,37766446,USA,FL,Fort Lauderdale,73.139.58.24,,3,2,4,4,2,4,3,5,5,5,1,1,3,1,2,5,2,1,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:21:04,2408555919,3/2/2017 09:19:36,false,elite,0.3889,30000442,GBR,K4,Plymouth,77.101.44.101,,1,1,5,3,5,5,1,5,5,1,1,4,3,1,1,5,1,1,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:21:43,2408556266,3/2/2017 09:19:57,false,bitcoinget,0.5926,41098096,USA,VA,Manassas,199.115.117.81,,4,1,4,3,2,5,4,5,5,3,1,2,2,4,2,5,5,2,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:21:59,2408556376,3/2/2017 09:20:47,false,clixsense,0.5556,11767390,USA,WA,Puyallup,73.221.247.11,,5,5,5,5,1,5,1,5,5,5,1,1,1,5,1,5,1,1,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:23:16,2408557001,3/2/2017 09:19:08,false,bitcoinget,0.3111,40493244,USA,UT,Providence,107.182.233.227,,2,3,4,4,4,4,4,4,4,3,3,3,3,4,3,4,4,2,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:29:55,2408560124,3/2/2017 09:26:51,false,bitcoinget,0.3889,40462112,USA,TX,Dallas,142.0.194.180,,2,5,3,4,4,4,4,5,4,4,2,1,2,2,2,5,4,3,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:32:04,2408561304,3/2/2017 09:28:57,false,neodev,0.4286,41280604,USA,WA,Issaquah,24.16.4.101,,2,2,3,4,2,4,3,4,4,4,1,2,3,3,2,5,2,2,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:33:55,2408562201,3/2/2017 09:32:50,false,clixsense,0.4167,29095456,IRL,07,Dublin,89.101.10.65,,4,1,4,4,2,5,2,5,5,4,2,3,3,3,1,4,1,1,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:34:21,2408562434,3/2/2017 09:32:54,false,neodev,0.4333,13197642,GBR,I2,Manchester,212.250.238.196,,4,1,4,5,4,4,2,5,5,5,2,2,3,2,2,3,1,1,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
1168714919,3/2/2017 09:34:24,2408562450,3/2/2017 09:32:52,false,neodev,0.4611,41903929,USA,"","",149.86.208.122,,4,1,5,5,3,5,1,5,5,5,1,1,3,3,3,5,1,1,"<br>A: ""Let's go to a restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to a restaurant on the north side.""<br><br>A: ""Let's go to the Paris bistro . It's a romantic, cheap French restaurant on the north side.""<br><br>&nbsp&nbsp&nbsp&nbspB: ""Okay, let's go to the Paris bistro restaurant.""<br>",,,,,,,,,,,,,,,,,,,
